function	insect_51_WholeSpecimen	insect_52_WholeSpecimen	insect_53_WholeSpecimen	insect_54_WholeSpecimen	insect_55_WholeSpecimen	insect_56_WholeSpecimen	insect_57_WholeSpecimen	insect_58_WholeSpecimen	insect_59_WholeSpecimen	insect_60_WholeSpecimen	insect_61_WholeSpecimen	insect_62_WholeSpecimen	insect_63_WholeSpecimen	insect_64_WholeSpecimen	insect_65_WholeSpecimen	insect_66_WholeSpecimen	insect_67_WholeSpecimen	insect_68_WholeSpecimen	insect_69_WholeSpecimen	insect_70_WholeSpecimen
RXN-12615	0.0	0.0	7.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	72.57	7.57	100.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12618	12586.75	2742.38	5653.38	8493.57	2200.7200000000003	7960.6	4468.75	5104.0	1375.69	5956.5	5657.02	4831.75	811.8800000000001	3013.5	10026.47	6938.74	29072.930000000004	1630.72	7203.18	3148.75
RXN-12619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12625	38203.11	10713.41	16477.85	29865.4	29819.9	111382.5	19300.75	1524.4	45793.62	18781.13	23165.51	40139.96	20472.0	11516.04	36742.9	27671.590000000004	40796.46	30771.84	25349.26	36368.75
RXN-12626	38203.11	10713.41	16477.85	29865.4	29819.9	111382.5	19300.75	1524.4	45793.62	18781.13	23165.51	40139.96	20472.0	11516.04	36742.9	27671.590000000004	40796.46	30771.84	25349.26	36368.75
RXN-12627	6.6000000000000005	0.0	7.14	0.0	24.0	128.0	99.0	0.0	0.0	0.0	2.43	201.57	7.57	124.0	0.0	1.33	0.0	0.0	75.8	0.0
RXN-12653	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12669	0.0	0.0	139.16	47.5	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	38.67	86.5	106.0	295.34000000000003	14.0	0.0	0.0
RXN-12690	0.0	0.0	64.26	3.4	0.0	0.0	64.0	0.0	0.0	0.0	0.0	577.0	0.0	69.34	41.0	4.0	9.2	7.0	0.0	0.0
RXN-12693	0.0	0.0	93.5	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0
RXN-12694	0.0	0.0	151.76	5.4	0.0	2.0	30.0	0.0	0.0	313.0	0.0	32.0	0.0	73.34	47.0	4.0	9.2	7.0	0.0	0.0
RXN-12702	0.0	0.0	66.66	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.34	4.0	12.0	0.0	21.0	0.0	0.0
RXN-12705	25078.96	6391.88	6828.29	16894.1	3804.58	9188.0	8505.75	732.0	3399.02	11457.0	10638.12	7508.78	1644.54	5848.17	17699.11	14107.48	25821.36	1967.33	16416.85	6124.25
RXN-12710	37612.84	9617.26	12078.86	25325.2	5676.87	13110.5	12618.5	598.0	5738.24	16634.5	15819.48	10712.23	1955.85	9066.3	25870.44	22053.56	27866.72	2806.78	25998.6	9361.0
RXN-12714	0.0	0.0	64.26	3.4	0.0	0.0	64.0	0.0	0.0	0.0	0.0	577.0	0.0	69.34	41.0	4.0	9.2	7.0	0.0	0.0
RXN-12717	0.0	0.0	47.93	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.67	39.0	4.0	9.2	7.0	0.0	0.0
RXN-12718	0.0	0.0	28.6	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	39.0	0.0	9.2	7.0	0.0	0.0
RXN-12720	25399.980000000003	6194.33	3506.11	17029.269999999997	7095.4800000000005	9170.4	8515.5	3075.0	2805.54	11528.64	10977.45	7063.4	2624.18	5877.4	18798.84	12267.06	40996.21000000001	1840.74	19979.0	6297.5
RXN-12726	27796.800000000003	8507.619999999999	18151.99	24266.47	31698.99	42582.7	14293.5	2727.4	33207.32	14349.13	19748.870000000003	28062.42	22747.9	6481.06	27902.45	26088.869999999995	61841.34	34410.86	37153.16	18971.7
RXN-12730	25223.25	6099.88	6502.4	16984.57	12728.79	9241.7	12935.75	1564.0	2516.25	11533.82	12995.85	8274.71	11035.95	3247.53	17419.059999999998	20259.81	48645.33999999999	2286.25	17836.0	6207.25
RXN-12734	0.0	0.0	24.6	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	9.2	0.0	0.0	0.0
RXN-12735	0.0	0.0	226.6	1.4	0.0	122.0	0.0	0.0	17.0	8.0	6.0	366.0	33.0	30.0	300.33000000000004	16.33	117.2	24.33	80.0	0.0
RXN-12736	57.2	46.0	450.6	1890.4	3938.5	122.0	64.0	0.0	1429.0	228.0	501.93	1015.53	2686.57	164.42000000000002	2447.23	481.0	347.8	584.8	1521.6	0.0
RXN-12741	0.0	0.0	64.26	3.4	0.0	0.0	64.0	0.0	0.0	0.0	0.0	577.0	0.0	69.34	41.0	4.0	9.2	7.0	0.0	0.0
RXN-12746	0.0	0.0	47.93	3.4	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.67	39.0	4.0	9.2	7.0	0.0	0.0
RXN-12747	0.0	0.0	93.5	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0
RXN-12750	25078.96	6391.88	6828.29	16894.1	3804.58	9188.0	8505.75	732.0	3399.02	11457.0	10638.12	7508.78	1644.54	5848.17	17699.11	14107.48	25821.36	1967.33	16416.85	6124.25
RXN-12751	37612.84	9617.26	12078.86	25325.2	5676.87	13110.5	12618.5	598.0	5738.24	16634.5	15819.48	10712.23	1955.85	9066.3	25870.44	22053.56	27866.72	2806.78	25998.6	9361.0
RXN-12752	13940.78	3776.56	7451.0	18066.37	33107.87	19668.0	9629.75	304.5	28073.17	7191.09	14704.39	10677.97	17880.55	3335.83	16499.839999999997	16526.13	35322.34	54481.5	16952.16	3490.35
RXN-12764	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12768	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12769	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN-12778	0.0	948.0	159.49	6.0	0.0	72.0	0.0	149.0	17.0	84.0	0.0	79.5	75.0	171.34	19.0	14.0	13.0	14.0	0.0	0.0
RXN-12789	0.0	0.0	93.5	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0
RXN-12790	0.0	0.0	151.76	5.4	0.0	2.0	30.0	0.0	0.0	313.0	0.0	32.0	0.0	73.34	47.0	4.0	9.2	7.0	0.0	0.0
RXN-12819	0.0	0.0	0.0	0.0	5677.0	0.0	0.0	0.0	184.0	0.0	4.0	82.0	4035.0	0.0	78.0	0.0	0.0	0.0	134.0	0.0
RXN-12820	0.0	0.0	0.0	0.0	5677.0	0.0	0.0	0.0	184.0	0.0	4.0	82.0	4035.0	0.0	78.0	0.0	0.0	0.0	134.0	0.0
